UMPD CASENUMBER,OCCURRED DATE TIMELOCATION,REPORT DATE TIME,TYPE,DISPOSITION,LOCATION,BUILDING,LAT,LONG
2017-00005956,2017-01-28 06:18:00,2017-01-28 06:18:00,Vandalism,Active/Pending,6900 block of Preinkert Dr,,38.9821747,-76.9448626
2017-00006129,2017-01-29 00:21:00,2017-01-29 00:21:00,Injured/Sick Person,CBE,4100 block of Farm Dr,,38.9924408,-76.9456119
2017-00006131,2017-01-29 00:43:00,2017-01-29 00:43:00,Injured/Sick Person,CBE,4300 block of Hartwick Rd,,38.980125,-76.94235499999998
2017-00006156,2017-01-29 02:39:00,2017-01-29 02:39:00,Injured/Sick Person,CBE,3900 block of Denton Service Ln,,38.993831799999995,-76.9496542
2017-00006262,2017-01-29 16:45:00,2017-01-29 16:45:00,Assault,Suspended,4094 Campus Dr,Biology-Psychology Building,38.9875386,-76.9425809
2017-00006276,2017-01-29 18:38:00,2017-01-29 18:38:00,Harassment/Stalking (Title IX Related),Active/Pending,7500 block of Calvert Service Ln,,38.9822813,-76.9424628
2017-00006293,2017-01-29 21:30:00,2017-01-29 21:30:00,Injured/Sick Person,CBE,3800 block of Stadium Dr,,38.9919854,-76.95030390000002
2017-00006298,2017-01-29 21:00:00,2017-01-29 21:58:00,Fire,CBE,6900 block of Preinkert Dr,,38.9821747,-76.9448626
2017-00006347,2017-01-30 00:44:00,2017-01-30 00:44:00,Injured/Sick Person,CBE,3900 block of Denton Service Ln,,38.993831799999995,-76.9496542
2017-00006349,2017-01-30 01:00:00,2017-01-30 01:00:00,Emergency Petition,CBE,4243 Valley Dr,Centreville Hall,38.9922658,-76.9417442
2017-00006481,2017-01-25 18:00:00,2017-01-30 13:58:00,Theft from Auto,Suspended,7500 block of Mowatt Ln,,38.981998,-76.949884
2017-00006493,2017-01-30 15:45:00,2017-01-30 15:48:00,Injured/Sick Person,CBE,4282 Chapel Ln,"Francis Scott, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK",38.9852429,-76.943123
2017-00006543,2017-01-30 18:54:00,2017-01-30 18:54:00,Accident,CBE,3947 Campus Dr,Dorchester Hall,38.987061499999996,-76.94622509999998
2017-00006593,2017-01-30 22:28:00,2017-01-30 22:45:00,Suspicious Activity,CBE,College Ave,,38.9804379,-76.9303192
2017-00006714,2017-01-31 11:05:00,2017-01-31 11:31:00,Other Incident,CBE,4176 Campus Dr,"Kirwan Hall, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall",38.9879143,-76.93866729999998
2017-00006726,2017-01-30 13:50:00,2017-01-31 14:15:00,Theft,Suspended,4282 Chapel Ln,"Francis Scott, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK",38.9852429,-76.943123
2017-00006766,2017-01-30 05:40:00,2017-01-31 16:42:00,Dept Property Damage/Loss,CBE,3000 block of Monroe St,,38.933952500000004,-76.9213809
2017-00006803,2017-01-31 20:16:00,2017-01-31 20:16:00,CDS Violation,Arrest,University Blvd,,39.0006468,-76.9413438
2017-00006848,2017-01-18 00:00:00,2017-01-31 23:21:00,Vandalism,Active/Pending,8500 block of Paint Branch Dr,,38.994984,-76.94049100000002
2017-00006900,2017-02-01 06:17:00,2017-02-01 06:17:00,Injured/Sick Person,CBE,3800 block of Stadium Dr,,38.9919854,-76.95030390000002
2017-00006907,2017-01-31 21:30:00,2017-02-01 08:02:00,Dept Property Damage/Loss,CBE,7569 Baltimore Ave,"Pocomoke Building, Police, UMDPS, UMPD",38.982924,-76.9375941
2017-00006947,2017-02-01 10:37:00,2017-02-01 10:37:00,Injured/Sick Person,CBE,7600 block of Library Ln,,38.98644000000001,-76.94518199999997
2017-00006994,2017-02-01 15:30:00,2017-02-01 15:30:00,Recovered Stolen Motor Vehicle,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2017-00006999,2017-02-01 12:00:00,2017-02-01 16:41:00,Fraud,Arrest,7500 block of Baltimore Ave,,38.9821715,-76.93799399999997
2017-00007023,2017-02-01 19:11:00,2017-02-01 19:11:00,Emergency Petition,CBE,4090 Union Dr,"Cole Field House, Cole Student Activities Building, Driscoll Center",38.98718570000001,-76.9467566
2017-00007030,2017-01-17 17:00:00,2017-02-01 19:37:00,Theft,Arrest,7567 Yale Ave,"Leonardtown #248, Leonardtown",38.983942,-76.93340460000002
2017-00007040,2017-02-01 20:49:00,2017-02-01 20:49:00,Warrant/Summons Service,Arrest,University Blvd,,39.0006468,-76.9413438
2017-00007203,2017-02-02 12:05:00,2017-02-02 11:59:00,Assist Other Agency,CBE,3900 block of Campus Dr,,38.98594129999999,-76.94698709999999
2017-00007311,2017-02-02 23:45:00,2017-02-02 23:45:00,Warrant/Summons Service,Arrest,University Blvd,,39.0006468,-76.9413438
2017-00007312,2017-02-02 23:42:00,2017-02-02 23:42:00,Other Incident,Suspended,Lot 12a,,38.9895658,-76.9391893
2017-00007336,2017-02-03 01:48:00,2017-02-03 01:48:00,DWI/DUI,Arrest,Princeton Ave,,38.9808479,-76.9349934
2017-00007343,2017-02-03 02:02:00,2017-02-03 02:02:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2017-00007403,2017-02-03 11:16:00,2017-02-03 11:16:00,Other Incident,CBE,4200 block of Farm Dr,,38.99148539999999,-76.943916
2017-00007435,2017-02-03 14:29:00,2017-02-03 14:29:00,Harassment/Stalking,CBE,4200 block of Valley Dr,,38.9930708,-76.94819439999998
2017-00007439,2017-02-02 05:00:00,2017-02-03 15:17:00,Theft,Unfounded,3951 Denton Service Ln,Denton Area Dining Hall,38.993112599999996,-76.94909009999998
2017-00007480,2017-02-03 18:53:00,2017-02-03 18:53:00,Injured Officer,CBE,4490 Rossborough Ln,"Armory, Reckord Armory",38.9856378,-76.93708050000002
2017-00007518,2017-02-03 18:20:00,2017-02-03 21:11:00,Damage to State Property,CBE,7999 Regents Dr,"Clarence M. Mitchell, Jr. Building, Mitchell Building, North Administration",38.9865424,-76.94016359999998
2017-00007549,2017-02-03 22:56:00,2017-02-03 22:56:00,Injured/Sick Person,CBE,4000 block of Stadium Dr,,38.9924384,-76.9474152
2017-00007603,2017-02-04 01:10:00,2017-02-04 01:15:00,Injured/Sick Person,CBE,7400 block of Baltimore Ave,,38.980973999999996,-76.9381355
2017-00007628,2017-02-04 02:14:00,2017-02-04 02:14:00,DWI/DUI,Arrest,Lakeland Rd,,38.9891221,-76.92967940000003
2017-00007720,2016-11-17 16:47:00,2017-02-04 13:56:00,Other Incident,CBE,4600 block of Norwich Rd,,38.982942,-76.933812
2017-00007741,2017-02-04 16:32:00,2017-02-04 16:32:00,CDS Violation,CBE,4000 block of Stadium Dr,,38.9924384,-76.9474152
2017-00007744,2017-02-03 10:00:00,2017-02-04 17:26:00,Vandalism,Active/Pending,7600 block of Library Ln,,38.98644000000001,-76.94518199999997
2017-00007765,2017-02-04 19:00:00,2017-02-04 19:16:00,CDS Violation,CBE,7600 block of Regents Dr,,38.9827235,-76.9396556
2017-00007792,2017-02-04 22:12:00,2017-02-04 22:12:00,CDS Violation,CBE,4000 block of Stadium Dr,,38.9924384,-76.9474152
2017-00007808,2017-02-04 23:20:00,2017-02-04 23:28:00,Fire,CBE,8500 Paint Branch Dr,"Comcast Center, Xfinity Center",38.994984,-76.94049100000002
2017-00007819,2017-02-05 00:23:00,2017-02-05 00:23:00,Assist Other Agency,CBE,7300 block of Baltimore Ave,,38.9798863,-76.93837490000001
2017-00007839,2017-02-05 02:01:00,2017-02-05 02:01:00,Injured/Sick Person,CBE,Hartwick Rd,,38.979669200000004,-76.9384512
2017-00007841,2017-02-05 02:08:00,2017-02-05 02:08:00,DWI/DUI,Arrest,College Ave,,38.9804379,-76.9303192
2017-00007850,2017-02-05 04:20:00,2017-02-05 04:23:00,Injured/Sick Person,CBE,4200 block of Valley Dr,,38.9930708,-76.94819439999998
2017-00007920,2017-02-05 00:00:00,2017-02-05 12:08:00,Vandalism,Suspended,6800 block of Preinkert Dr,,38.98154210000001,-76.9448398
2017-00007923,2017-02-05 12:37:00,2017-02-05 12:37:00,Injured/Sick Person,CBE,4028 Stadium Dr,Ellicott Area Dining Hall,38.99247889999999,-76.9466291
2017-00007956,2017-02-05 12:00:00,2017-02-05 16:08:00,Other Incident,CBE,4300 block of Stadium Dr,,38.9904997,-76.9416475
2017-00008001,2017-02-05 23:22:00,2017-02-05 23:22:00,Theft,Suspended,4600 block of Rossborough Ln,,38.9854479,-76.93638979999999
2017-00008125,2017-02-04 12:00:00,2017-02-06 11:14:00,Fraud,CBE,3900 block of Campus Dr,,38.98594129999999,-76.94698709999999
2017-00008140,2017-02-03 12:00:00,2017-02-06 12:20:00,Theft,Suspended,4200 block of Valley Dr,,38.9930708,-76.94819439999998
2017-00008151,2016-12-15 14:00:00,2017-02-06 13:51:00,Theft,Suspended,4018 Campus Dr,Nyumburu Cultural Center,38.98753019999999,-76.9438188
2017-00008169,2017-02-03 16:00:00,2017-02-06 15:55:00,Theft,Suspended,6200 Sheridan St,"Center for Educational Partnership, Riverdale School",38.9653524,-76.911126
2017-00008185,2017-02-06 16:48:00,2017-02-06 16:48:00,Injured/Sick Person,CBE,7700 block of Baltimore Ave,,38.9856555,-76.93707009999999
2017-00008197,2017-02-06 17:26:00,2017-02-06 17:35:00,Theft,Suspended,3400 block of Tulane Dr,,38.9849015,-76.9585961
2017-00008199,2017-02-05 12:00:00,2017-02-06 17:38:00,Theft,Suspended,4230 Farm Dr,Cambridge Hall,38.991634999999995,-76.943038
2017-00008214,2017-02-06 18:53:00,2017-02-06 18:53:00,CDS Violation,Arrest,7500 block of Mowatt Ln,,38.981998,-76.949884
2017-00008323,2017-02-06 23:15:00,2017-02-07 01:36:00,Dept Property Damage/Loss,CBE,4090 Union Dr,"Cole Field House, Cole Student Activities Building, Driscoll Center",38.98718570000001,-76.9467566
2017-00008338,2017-02-07 07:00:00,2017-02-07 07:26:00,Damage to State Property,CBE,8000 block of Regents Dr,,38.988159,-76.9409226
2017-00008358,2017-02-07 09:42:00,2017-02-07 09:42:00,Injured/Sick Person,CBE,7500 block of Preinkert Dr,,38.98462120000001,-76.94564890000002
2017-00008360,2017-02-07 09:58:00,2017-02-07 09:58:00,Title IX Incident Non Criminal,CBE,Campus Dr,,38.9886616,-76.9350786
2017-00008386,2017-02-06 22:15:00,2017-02-07 15:33:00,Theft,Suspended,4028 Stadium Dr,Ellicott Area Dining Hall,38.99247889999999,-76.9466291
2017-00008388,2017-02-07 15:50:00,2017-02-07 15:54:00,Accident - Departmental,CBE,9700 block of Baltimore Ave,,39.0148104,-76.9276838
2017-00008489,2017-02-07 23:40:00,2017-02-07 23:40:00,Injured/Sick Person,CBE,Rhode Island Ave,,39.005088,-76.92395040000002
2017-00008496,2017-02-08 00:18:00,2017-02-08 00:18:00,Fraud,Arrest,7700 block of Baltimore Ave,,38.9856555,-76.93707009999999
2017-00008502,2017-02-08 00:59:00,2017-02-08 00:58:00,Injured/Sick Person,CBE,3900 block of Denton Service Ln,,38.993831799999995,-76.9496542
2017-00008627,2017-02-08 18:45:00,2017-02-08 18:50:00,Theft,Suspended,3900 block of Campus Dr,,38.98594129999999,-76.94698709999999
2017-00008709,2017-02-09 01:43:00,2017-02-09 01:45:00,Damage to State Property,CBE,3912 Denton Service Ln,Oakland Hall,38.993831799999995,-76.9496542
2017-00008773,2017-02-09 11:08:00,2017-02-09 11:08:00,Damage to State Property,CBE,7757 Baltimore Ave,Service Building,38.9856902,-76.9363405
2017-00008794,2017-02-09 12:58:00,2017-02-09 12:58:00,Assist Other Agency,CBE,7500 block of Baltimore Ave,,38.9821715,-76.93799399999997
2017-00008801,2017-02-09 14:26:00,2017-02-09 15:01:00,Suspicious Activity,CBE,7700 block of Alumni Dr,,38.9899536,-76.949416
2017-00008815,2017-02-09 12:30:00,2017-02-09 17:59:00,Theft,Active/Pending,3972 Campus Dr,"Stamp, Stamp Student Union, Student Union, Union",38.98821940000001,-76.94469720000002
2017-00008889,2017-02-09 22:35:00,2017-02-09 22:35:00,Theft,Active/Pending,7200 block of Preinkert Dr,,38.9836916,-76.94514720000002
2017-00008892,2017-02-09 21:00:00,2017-02-09 22:49:00,Injured/Sick Person,CBE,4500 block of College Ave,,38.9824214,-76.93702420000002
2017-00008939,2017-02-10 00:56:00,2017-02-10 00:56:00,DWI/DUI,Arrest,7300 block of Yale Ave,,38.979457399999994,-76.93712889999998
2017-00008943,2017-02-10 01:10:00,2017-02-10 01:12:00,Suspicious Person/Auto,CBE,7400 block of Columbia Ave,,38.97917800000001,-76.92971399999998
2017-00008954,2017-02-09 22:45:00,2017-02-10 01:51:00,Fraud (Title IX Related),CBE,4230 Farm Dr,Cambridge Hall,38.991634999999995,-76.943038
2017-00008966,2017-02-10 02:29:00,2017-02-10 02:29:00,Injured/Sick Person,CBE,7744 Regents Dr,"Chapel, Memorial Chapel",38.98417979999999,-76.9400752
2017-00008985,2017-02-10 03:40:00,2017-02-10 03:53:00,Injured/Sick Person,CBE,7500 block of Calvert Service Ln,,38.9822813,-76.9424628
2017-00009004,2017-02-10 08:13:00,2017-02-10 08:13:00,Injured/Sick Person,CBE,3800 block of Stadium Dr,,38.9919854,-76.95030390000002
2017-00009045,2017-02-09 17:00:00,2017-02-10 11:29:00,Vandalism,Suspended,8056 Regents Dr,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab",38.9895445,-76.9406662
2017-00009186,2017-02-10 21:11:00,2017-02-10 21:11:00,Warrant/Summons Service,Arrest,4400 block of Knox Rd,,38.980953,-76.9371865
2017-00009255,2017-02-05 00:00:00,2017-02-11 00:38:00,Other Incident,Active/Pending,3915 Campus Dr,Anne Arundel Hall,38.98594110000001,-76.94668999999998
2017-00009279,2017-02-11 01:45:00,2017-02-11 02:02:00,Injured/Sick Person,CBE,7500 block of Baltimore Ave,,38.9821715,-76.93799399999997
2017-00009295,2017-02-11 03:34:00,2017-02-11 03:34:00,DWI/DUI,Arrest,8301 Baltimore Ave,McDonald's,38.992173,-76.93299470000002
2017-00009296,2017-02-11 03:58:00,2017-02-11 03:58:00,Disorderly Conduct,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2017-00009297,2017-02-11 04:39:00,2017-02-11 04:39:00,Injured/Sick Person,CBE,3912 Denton Service Ln,Oakland Hall,38.993831799999995,-76.9496542
2017-00009403,2017-02-11 15:06:00,2017-02-11 15:06:00,Injured/Sick Person,CBE,4130 Campus Dr,Hornbake Library,38.9880891,-76.94150520000002
2017-00009432,2017-02-11 15:18:00,2017-02-11 17:57:00,Other Incident (Title IX Related),CBE,7500 block of Baltimore Ave,,38.9821715,-76.93799399999997
2017-00009463,2017-02-11 20:14:00,2017-02-11 20:14:00,CDS Violation,CBE,3800 block of Stadium Dr,,38.9919854,-76.95030390000002
2017-00009491,2017-02-11 22:05:00,2017-02-11 22:05:00,Injured/Sick Person,CBE,3800 block of Stadium Dr,,38.9919854,-76.95030390000002
2017-00009514,2017-02-11 23:31:00,2017-02-11 23:31:00,Trespassing,CBE,"Byrd Stadium, Maryland Stadium",Capital One Field,38.99033319999999,-76.9473792
2017-00009528,2017-02-12 00:34:00,2017-02-12 00:34:00,Injured/Sick Person,CBE,7400 block of Preinkert Dr,,38.9845042,-76.9454662
2017-00009540,2017-02-12 01:28:00,2017-02-12 01:28:00,CDS Violation,CBE,7000 block of Preinkert Dr,,38.983464700000006,-76.9451097
2017-00009545,2017-02-12 01:40:00,2017-02-12 01:40:00,CDS Violation,Arrest,Berwyn House Rd,,38.991580299999995,-76.931263
2017-00009650,2017-02-12 16:30:00,2017-02-12 16:37:00,Dept Property Damage/Loss,CBE,7500 block of Baltimore Ave,,38.9821715,-76.93799399999997
2017-00009704,2017-02-12 19:47:00,2017-02-12 19:47:00,Injured/Sick Person,CBE,8270 Alumni Dr,"Clarice Smith Performing Arts Center, CSPAC",38.990275,-76.9494161
2017-00009721,2017-02-12 22:54:00,2017-02-12 22:56:00,CDS Violation,CBE,4128 Valley Dr,"Eppley Recreation Center, ERC",38.9929529,-76.9441866
2017-00009722,2017-02-12 23:02:00,2017-02-12 23:02:00,CDS Violation,CBE,4155 Terrapin Trl,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG",38.9952867,-76.94265469999998
2017-00009731,2017-02-12 23:39:00,2017-02-12 23:39:00,CDS Violation,CBE,"La Plata Beach, LaPlata Beach",,38.9924835,-76.94513140000002
2017-00009848,2017-02-13 10:56:00,2017-02-13 10:56:00,Emergency Petition,CBE,3900 block of Denton Service Ln,,38.993831799999995,-76.9496542
2017-00009850,2017-02-13 11:21:00,2017-02-13 11:21:00,Other Incident,CBE,7600 block of Library Ln,,38.98644000000001,-76.94518199999997
2017-00009851,2017-02-13 11:00:00,2017-02-13 11:26:00,Injured/Sick Person,CBE,3835 Campus Dr,Architecture Building,38.9844426,-76.94771800000002
2017-00009899,2017-02-13 16:25:00,2017-02-13 16:28:00,Injured/Sick Person,CBE,4028 Valley Dr,Center for Young Children,38.9929529,-76.9441866
2017-00009904,2017-02-11 11:00:00,2017-02-13 16:27:00,Theft,Suspended,7000 block of Preinkert Dr,,38.983464700000006,-76.9451097
2017-00009907,2017-02-13 16:50:00,2017-02-13 16:55:00,Injured/Sick Person,CBE,Campus Dr,,38.9886616,-76.9350786
2017-00009932,2017-02-13 18:32:00,2017-02-13 18:32:00,Injured/Sick Person,CBE,7814 Regents Dr,Marie Mount Hall,38.985291499999995,-76.9401245
2017-00009959,2017-02-11 19:00:00,2017-02-13 20:37:00,Theft,Suspended,8700 block of Boteler Ln,,39.00342,-76.942128
2017-00009970,2017-02-13 21:17:00,2017-02-13 21:17:00,Assist Other Agency,CBE,4300 Hartwick Rd,Terrapin Row,38.980125,-76.94235499999998
2017-00010062,2017-02-14 09:17:00,2017-02-14 09:17:00,Lost Property,CBE,8500 Paint Branch Dr,"Comcast Center, Xfinity Center",38.994984,-76.94049100000002
2017-00010063,2017-02-14 08:00:00,2017-02-14 09:22:00,Injured/Sick Person,CBE,6800 block of Preinkert Dr,,38.98154210000001,-76.9448398
2017-00010100,2017-02-04 12:00:00,2017-02-14 12:14:00,Other Incident,Active/Pending,7765 Alumni Dr,"Journalism Building, Knight Hall",38.986897,-76.9489952
2017-00010102,2017-02-13 15:30:00,2017-02-14 13:10:00,Fraud,Suspended,4418 Stadium Dr,Chemical & Nuclear Engineering,38.99041370000001,-76.9391677
2017-00010115,2017-02-13 17:00:00,2017-02-14 14:40:00,Theft,Suspended,8300 block of Boteler Ln,,39.001111,-76.942392
2017-00010121,2017-02-14 15:54:00,2017-02-14 15:54:00,Injured/Sick Person,CBE,4200 block of Valley Dr,,38.9930708,-76.94819439999998
2017-00010179,2017-02-14 21:08:00,2017-02-14 21:08:00,Recovered Stolen Motor Vehicle,Arrest,Lakeland Rd,,38.9891221,-76.92967940000003
2017-00010207,2017-02-14 23:00:00,2017-02-14 23:18:00,Found/Recovered Property,CBE,8500 block of Paint Branch Dr,,38.994984,-76.94049100000002
2017-00010246,2017-02-15 01:59:00,2017-02-15 01:59:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2017-00010260,2017-02-15 08:29:00,2017-02-15 08:29:00,Injured/Sick Person,CBE,4128 Valley Dr,"Eppley Recreation Center, ERC",38.9929529,-76.9441866
2017-00010296,2017-02-15 11:16:00,2017-02-15 11:16:00,Recovered Stolen Property,Arrest,4306 Campus Dr,North Gate,38.9882089,-76.93779239999998
2017-00010537,2017-02-16 10:00:00,2017-02-16 10:00:00,Title IX Incident Non Criminal,Suspended,4200 Lehigh Rd,"S Campus Surge, Susquehanna Hall",38.9818698,-76.9437804
2017-00010567,2017-02-16 12:20:00,2017-02-16 13:18:00,Suspicious Activity,CBE,3834 Campus Dr,"Art Sociology Building, Art-Sociology Building, Parren J. Mitchell Art-Sociology Building",38.98492299999999,-76.94715090000003
2017-00010568,2017-02-16 13:20:00,2017-02-16 13:20:00,Injured/Sick Person,CBE,7600 block of Library Ln,,38.98644000000001,-76.94518199999997
2017-00010576,2017-02-15 17:30:00,2017-02-16 14:13:00,Theft,Suspended,4200 block of Valley Dr,,38.9930708,-76.94819439999998
2017-00010580,2017-02-13 21:00:00,2017-02-16 15:32:00,Harassment/Stalking (Title IX Related),Active/Pending,3900 block of Denton Service Ln,,38.993831799999995,-76.9496542
2017-00010695,2017-02-17 01:28:00,2017-02-17 01:28:00,Injured/Sick Person,CBE,10 Fraternity Row,,38.9833388,-76.9351684
2017-00010697,2017-02-17 02:06:00,2017-02-17 02:06:00,CDS Violation,CBE,Greenbelt Rd,,38.9980549,-76.9173744
2017-00010703,2017-02-17 03:13:00,2017-02-17 03:13:00,Injured/Sick Person,CBE,4500 block of Calvert Rd,,38.978491,-76.93604169999998
2017-00010845,2017-02-17 18:38:00,2017-02-17 18:38:00,CDS Violation,Arrest,Calvert Rd,,38.97879010000001,-76.93359579999998
2017-00010931,2017-02-17 22:22:00,2017-02-17 22:22:00,Assist Other Agency,CBE,4500 block of College Ave,,38.9824214,-76.93702420000002
2017-00010988,2017-02-18 00:34:00,2017-02-18 00:34:00,Injured/Sick Person,CBE,3900 block of Denton Service Ln,,38.993831799999995,-76.9496542
2017-00011004,2017-02-18 01:07:00,2017-02-18 01:07:00,Injured/Sick Person,CBE,7699 Mowatt Ln,Van Munching Hall,38.9829759,-76.94817090000002
2017-00011032,2017-02-18 03:17:00,2017-02-18 03:34:00,Disorderly Conduct,Arrest,4500 block of Knox Rd,,38.9809271,-76.9370323
2017-00011070,2017-02-16 14:00:00,2017-02-18 09:48:00,Lost Property,CBE,7500 block of Baltimore Ave,,38.9821715,-76.93799399999997
2017-00011118,2017-02-10 11:00:00,2017-02-18 13:50:00,Theft,Suspended,3915 Campus Dr,Anne Arundel Hall,38.98594110000001,-76.94668999999998
2017-00011127,2017-02-17 00:00:00,2017-02-18 15:13:00,Assist Other Agency,CBE,8100 block of Baltimore Ave,,38.9886934,-76.93515339999998
2017-00011131,2017-02-18 15:20:00,2017-02-18 15:38:00,Injured/Sick Person,CBE,7000 block of Preinkert Dr,,38.983464700000006,-76.9451097
2017-00011175,2017-02-18 19:07:00,2017-02-18 19:07:00,Injured/Sick Person,CBE,4028 Stadium Dr,Ellicott Area Dining Hall,38.99247889999999,-76.9466291
2017-00011214,2017-02-18 23:32:00,2017-02-18 23:32:00,CDS Violation,CBE,7200 block of Preinkert Dr,,38.9836916,-76.94514720000002
2017-00011236,2017-02-19 01:13:00,2017-02-19 01:13:00,Injured/Sick Person,CBE,Baltimore Ave,,38.997626200000006,-76.9315953
2017-00011239,2017-02-19 01:24:00,2017-02-19 01:24:00,Assist Other Agency,CBE,8150 Baltimore Ave,"7-11 Varsity, 7-Eleven Varsity",38.9914779,-76.9343642
2017-00011241,2017-02-19 01:48:00,2017-02-19 01:48:00,Injured/Sick Person,CBE,4121 Farm Dr,"La Plata Hall, LaPlata hall",38.9924408,-76.9456119
2017-00011246,2017-02-19 02:11:00,2017-02-19 02:11:00,DWI/DUI,Arrest,7569 Baltimore Ave,"Pocomoke Building, Police, UMDPS, UMPD",38.982924,-76.9375941
2017-00011247,2017-02-19 02:35:00,2017-02-19 02:35:00,Injured/Sick Person,CBE,7300 block of Baltimore Ave,,38.9798863,-76.93837490000001
2017-00011258,2017-02-19 05:14:00,2017-02-19 05:14:00,Assist Other Agency,CBE,7500 block of Princeton Ave,,38.9814346,-76.9347832
2017-00011349,2017-02-19 19:00:00,2017-02-19 19:11:00,Injured/Sick Person,CBE,4000 block of Stadium Dr,,38.9924384,-76.9474152
2017-00011411,2017-02-19 23:17:00,2017-02-19 23:17:00,DWI/DUI,Arrest,Knox Rd,,38.9807378,-76.93726699999998
2017-00011460,2017-02-20 03:06:00,2017-02-20 03:06:00,Domestic (Title IX Related),CBE,7901 Regents Dr,Main Administration Building,38.9860073,-76.9401467
2017-00011465,2017-02-20 03:30:00,2017-02-20 03:38:00,Injured/Sick Person,CBE,4000 block of Stadium Dr,,38.9924384,-76.9474152
2017-00011529,2016-03-25 17:00:00,2017-02-20 11:31:00,Rape (Title IX Related),Suspended,8000 block of Boteler Ln,,39.00305669999999,-76.94295919999998
2017-00011539,2017-02-20 14:19:00,2017-02-20 14:22:00,Accident,Active/Pending,4128 Valley Dr,"Eppley Recreation Center, ERC",38.9929529,-76.9441866
2017-00011548,2017-02-17 17:00:00,2017-02-20 15:48:00,Theft,Suspended,4200 block of Valley Dr,,38.9930708,-76.94819439999998
2017-00011661,2017-02-21 06:18:00,2017-02-21 06:18:00,Injured/Sick Person,CBE,340 block of Ehrensberger Dr,,38.9869361,-76.95497309999998
2017-00011710,2017-02-20 05:55:00,2017-02-21 12:46:00,Accident,Suspended,4000 Stadium Dr,Hagerstown Hall,38.992106,-76.9478627
2017-00011712,2017-02-21 13:10:00,2017-02-21 13:10:00,Injured/Sick Person,CBE,8051 Regents Dr,"Chemistry, Chemistry Building",38.9892916,-76.9406525
2017-00011716,2016-12-14 18:04:00,2017-02-21 14:17:00,Assist Other Agency,CBE,7500 block of Baltimore Ave,,38.9821715,-76.93799399999997
2017-00011730,2017-02-21 16:10:00,2017-02-21 16:10:00,CDS Violation,CBE,3841 Stadium Dr,West Gate,38.9919854,-76.95030390000002
2017-00011803,2017-02-21 22:53:00,2017-02-21 22:53:00,Injured/Sick Person,CBE,4000 block of Stadium Dr,,38.9924384,-76.9474152
2017-00011809,2017-02-21 23:43:00,2017-02-21 23:43:00,CDS Violation,CBE,Baltimore Ave,,38.997626200000006,-76.9315953
2017-00011838,2017-02-22 02:31:00,2017-02-22 02:31:00,Weapon Violation,Arrest,Adelphi Rd,,38.99425979999999,-76.96025429999997
2017-00011922,2017-02-22 14:09:00,2017-02-22 14:09:00,Theft,Arrest,3900 block of Campus Dr,,38.98594129999999,-76.94698709999999
2017-00011987,2017-02-22 19:20:00,2017-02-22 19:20:00,Emergency Petition,CBE,4141 Guilford Dr,Catholic Student Center,38.9805897,-76.9451783
2017-00012000,2017-02-22 22:11:00,2017-02-22 22:11:00,Accident - Departmental,CBE,7500 block of Baltimore Ave,,38.9821715,-76.93799399999997
2017-00012001,2017-02-22 22:00:00,2017-02-22 22:11:00,Theft,Arrest,8500 Paint Branch Dr,"Comcast Center, Xfinity Center",38.994984,-76.94049100000002
2017-00012026,2017-02-23 00:11:00,2017-02-23 00:11:00,Emergency Petition,CBE,8300 block of Baltimore Ave,,38.992540999999996,-76.933663
2017-00012041,2017-02-23 03:06:00,2017-02-23 03:06:00,Check on the Welfare,CBE,4128 Valley Dr,"Eppley Recreation Center, ERC",38.9929529,-76.9441866
2017-00012063,2016-11-21 14:00:00,2017-02-23 08:23:00,Theft,Arrest,3900 block of Campus Dr,,38.98594129999999,-76.94698709999999
2017-00012091,2017-02-23 14:00:00,2017-02-23 14:38:00,Other Incident,Suspended,7500 block of Baltimore Ave,,38.9821715,-76.93799399999997
2017-00012115,2017-02-23 17:30:00,2017-02-23 17:31:00,Injured/Sick Person,CBE,Guilford Dr,,38.9792771,-76.94149920000002
2017-00012147,2017-02-23 18:39:00,2017-02-23 18:39:00,Damage to State Property,CBE,7500 block of Baltimore Ave,,38.9821715,-76.93799399999997
2017-00012170,2017-02-23 20:20:00,2017-02-23 20:28:00,Injured/Sick Person,CBE,4028 Stadium Dr,Ellicott Area Dining Hall,38.99247889999999,-76.9466291
2017-00012243,2017-02-24 00:28:00,2017-02-24 00:28:00,CDS Violation,CBE,4025 Stadium Dr,"PG3, Stadium Drive Parking Garage",38.99182589999999,-76.94760219999998
2017-00012254,2017-02-24 00:55:00,2017-02-24 00:55:00,Injured/Sick Person,CBE,8300 block of Boteler Ln,,39.001111,-76.942392
